,divname,divrating,plusminus,season,teamid,teamname,type,year
709,4/3 Div 2,1400.0,-4.5,Summer,34621,Love Handles,Club,2013
710,4/3 Div 2,1400.0,0.333333333333,Summer,34805,Moose Lightning (Project X),Club,2013
711,4/3 Div 2,1400.0,1.11764705882,Summer,34586,Nerd Alert,Club,2013
712,4/3 Div 2,1400.0,1.46153846154,Summer,34808,Puddingstone,Club,2013
713,4/3 Div 2,1400.0,0.333333333333,Summer,34847,Rebel Alliance,Club,2013
714,4/3 Div 2,1400.0,-1.75,Summer,34886,Stall of the Wild,Club,2013
715,4/3 Div 2,1400.0,1.72727272727,Summer,34833,Store Bought Dirt,Club,2013
716,4/3 Div 2,1400.0,-1.46153846154,Summer,34572,Toads,Club,2013
717,4/3 Div 2,1400.0,-1.16666666667,Summer,34620,Tubbs,Club,2013
718,4/3 Div 2,1400.0,2.82352941176,Summer,34575,Upstream,Club,2013
719,4/3 Div 3,1000.0,-3.44444444444,Summer,34839,123 Frisbee,Club,2013
720,4/3 Div 3,1000.0,2.44444444444,Summer,34825,Baboon Heart,Club,2013
721,4/3 Div 3,1000.0,3.36363636364,Summer,34573,Fetch,Club,2013
722,4/3 Div 3,1000.0,-10.7142857143,Summer,34823,It's a Trap,Club,2013
723,4/3 Div 3,1000.0,-0.777777777778,Summer,34889,skoosh,Club,2013
724,4/3 Div 3,1000.0,-2.17647058824,Summer,34850,Stack to the Future,Club,2013
725,4/3 Div 3,1000.0,-5.88888888889,Summer,34840,Too Drunk to Fail,Club,2013
726,5/2 Div 1,1700.0,2.125,Summer,34880,Boston Nightcaps,Club,2013
727,5/2 Div 1,1700.0,5.75,Summer,34885,Fresh2Death,Club,2013
728,5/2 Div 1,1700.0,2.78571428571,Summer,34835,Stonecutters,Club,2013
729,5/2 Div 1,1700.0,-0.5,Summer,34877,Wey-Hi,Club,2013
730,5/2 Div 2,1300.0,2.92857142857,Summer,34881,Bacon,Club,2013
731,5/2 Div 2,1300.0,-4.11111111111,Summer,34879,Booosh!,Club,2013
732,5/2 Div 2,1300.0,2.4,Summer,34845,Dominion,Club,2013
733,5/2 Div 2,1300.0,-4.66666666667,Summer,34884,Eat Club,Club,2013
734,5/2 Div 2,1300.0,2.13333333333,Summer,34622,Get Flat,Club,2013
735,5/2 Div 2,1300.0,2.8,Summer,34891,Green Flash,Club,2013
736,5/2 Div 2,1300.0,-0.5,Summer,34585,HAOS Stark,Club,2013
737,5/2 Div 2,1300.0,-1.2,Summer,34867,Hucky McThrowandcatch,Club,2013
738,5/2 Div 2,1300.0,0.0555555555556,Summer,34619,Hungry Hippos,Club,2013
739,5/2 Div 2,1300.0,-0.363636363636,Summer,34865,JuJuHex,Club,2013
740,5/2 Div 2,1300.0,-4.28571428571,Summer,34836,Killer Bees,Club,2013
741,5/2 Div 2,1300.0,6.58333333333,Summer,34827,Maverick,Club,2013
742,5/2 Div 2,1300.0,-3.4,Summer,34892,TRanshee,Club,2013
743,5/2 Div 2,1300.0,-3.30769230769,Summer,34743,Turtleboy,Club,2013
744,5/2 Div 2,1300.0,-4.21428571429,Summer,34824,Underwater Monkey Cowboys,Club,2013
745,5/2 Div 2,1300.0,-3.5,Summer,34874,Villen,Club,2013
746,5/2 Div 2,1300.0,3.88888888889,Summer,34894,WHUF (Woods Hole Ultimate Frisbee),Club,2013
747,5/2 Div 3,900.0,-8.8,Summer,34811,Alpha no Beta,Club,2013
748,5/2 Div 3,900.0,-5.77777777778,Summer,34846,Cabbagerock,Club,2013
749,5/2 Div 3,900.0,2.0,Summer,34788,Demons,Club,2013
750,5/2 Div 3,900.0,2.4,Summer,34878,Flaming Croissants,Club,2013
751,5/2 Div 3,900.0,0.0,Summer,34868,Flying Salsa,Club,2013
752,5/2 Div 3,900.0,-0.5,Summer,34578,Granite State Grass Stains,Club,2013
753,5/2 Div 3,900.0,-3.66666666667,Summer,34834,Jiggy,Club,2013
754,5/2 Div 3,900.0,-3.0,Summer,34831,M.O.B.,Club,2013
755,5/2 Div 3,900.0,-1.85714285714,Summer,34876,O'Rhino,Club,2013
756,5/2 Div 3,900.0,3.4,Summer,34873,Rabbit Disk,Club,2013
757,5/2 Div 3,900.0,1.2,Summer,34787,Spam,Club,2013
758,5/2 Div 3,900.0,-3.33333333333,Summer,34806,Spawning Alewives,Club,2013
759,5/2 Div 3,900.0,-0.222222222222,Summer,34803,The Coasters,Club,2013
760,5/2 Div 3,900.0,-2.15384615385,Summer,34828,THEM!,Club,2013
761,5/2 Div 3,900.0,-0.125,Summer,34837,Top Shelf,Club,2013
762,5/2 Div 3,900.0,1.25,Summer,34875,WolfGang,Club,2013
763,Open Div 1,1400.0,2.4,Summer,35349,Concrete Jungle,Club,2013
764,Open Div 1,1400.0,3.05263157895,Summer,34571,Crossroads,Club,2013
765,Open Div 1,1400.0,-0.714285714286,Summer,34895,Discellaneous,Club,2013
766,Open Div 1,1400.0,1.75,Summer,34864,Fat Bass,Club,2013
767,Open Div 1,1400.0,-0.357142857143,Summer,34890,Flying Jackalopes,Club,2013
768,Open Div 1,1400.0,0.666666666667,Summer,34838,Iron Squids,Club,2013
769,Open Div 1,1400.0,-4.75,Summer,34888,Kontinental,Club,2013
770,Open Div 1,1400.0,1.44444444444,Summer,34851,Savage Strike,Club,2013
771,Open Div 1,1400.0,0.583333333333,Summer,34832,Stall 9,Club,2013
772,Open Div 2,1200.0,0.375,Summer,34829,DISCtinguished Gentlemen,Club,2013
773,Open Div 2,1200.0,0.666666666667,Summer,34810,Hucking Fooligans,Club,2013
774,Open Div 2,1200.0,-3.45454545455,Summer,34830,Magic Markers,Club,2013
775,Open Div 2,1200.0,-1.14285714286,Summer,34882,The Funky Bunch,Club,2013
776,JP Mixed (4/3),0.0,0.5,Spring,34587,Trapper Peepers (1),Hat,2013
777,JP Mixed (4/3),0.0,-1.66666666667,Spring,34588,BreakSide Ponytail (2),Hat,2013
778,JP Mixed (4/3),0.0,0.666666666667,Spring,34589,Rat Teal (3),Hat,2013
779,JP Mixed (4/3),0.0,4.33333333333,Spring,34590,Neon Beige (4),Hat,2013
780,JP Mixed (4/3),0.0,8.0,Spring,34591,Skytops (5),Hat,2013
781,JP Mixed (4/3),0.0,3.33333333333,Spring,34592,Indiana Zones (6),Hat,2013
782,JP Mixed (4/3),0.0,-5.6,Spring,34593,BusinessinFront CutsfromtheStack (7),Hat,2013
783,JP Mixed (4/3),0.0,-4.0,Spring,34594,Denim Denim Denim (8),Hat,2013
784,JP Mixed (4/3),0.0,-0.666666666667,Spring,34595,New Kids On the Stack (9),Hat,2013
785,JP Mixed (4/3),0.0,-1.5,Spring,34596,Purple Rain (10),Hat,2013
786,JP Mixed (4/3),0.0,-1.0,Spring,34597,Party in the Back (11),Hat,2013
787,JP Mixed (4/3),0.0,-3.5,Spring,34598,Pretty in Pink (12),Hat,2013
788,JP Mixed (4/3),0.0,-3.0,Spring,34599,Pumped Up Flicks (13),Hat,2013
789,JP Mixed (4/3),0.0,3.0,Spring,34600,Members Zonely (14),Hat,2013
790,JP Mixed (4/3),0.0,-6.33333333333,Spring,34601,Hammer Pants! (15),Hat,2013
791,JP Mixed (4/3),0.0,-4.71428571429,Spring,34602,Lycra Virgin (16),Hat,2013
792,JP Mixed (4/3),0.0,3.66666666667,Spring,34603,Daisy Jukes (17),Hat,2013
793,JP Mixed (4/3),0.0,2.16666666667,Spring,34604,Roller Blades (18),Hat,2013
794,JP Mixed (4/3),0.0,3.28571428571,Spring,34605,Fanny Stack (19),Hat,2013
795,JP Mixed (4/3),0.0,0.166666666667,Spring,34606,TMNT (20),Hat,2013
796,JP Mixed (4/3),0.0,-3.57142857143,Spring,34607,Block of Seagulls (21),Hat,2013
797,JP Mixed (4/3),0.0,0.0,Spring,34608,Members Only (22),Hat,2013
798,JP Mixed (4/3),0.0,6.14285714286,Spring,34609,Hand Block Cafe (23),Hat,2013
799,JP Mixed (4/3),0.0,-0.5,Spring,34610,Stack in Black (24),Hat,2013
800,Lexington Mixed (4/3) Weekend,0.0,5.2,Spring,34611,Business in the Front (25),Hat,2013
801,Lexington Mixed (4/3) Weekend,0.0,-0.4,Spring,34612,Huck Tales (26),Hat,2013
802,Lexington Mixed (4/3) Weekend,0.0,-4.0,Spring,34613,Big Hair Red Scare (27),Hat,2013
803,Lexington Mixed (4/3) Weekend,0.0,0.0,Spring,34614,Neon Spandisc (28),Hat,2013
804,Lexington Mixed (4/3) Weekend,0.0,1.4,Spring,34615,Get Into The Groove (29),Hat,2013
805,Lexington Mixed (4/3) Weekend,0.0,-2.2,Spring,34616,The Huckstables (30),Hat,2013
806,Northborough Open,0.0,0.714285714286,Winter,34410,Quit Smoking comma Drink More (1),Hat,2013
807,Northborough Open,0.0,3.42857142857,Winter,34411,Hashtag Nationals! (2),Hat,2013
808,Northborough Open,0.0,3.14285714286,Winter,34412,Going Green (3),Hat,2013
809,Northborough Open,0.0,-12.8571428571,Winter,34413,We Blue It! (4),Hat,2013
810,Northborough Open,0.0,4.42857142857,Winter,34414,Don't Fall Down (5),Hat,2013
811,Northborough Open,0.0,1.14285714286,Winter,34415,Team Name Next Week (6),Hat,2013
812,Revere Open,0.0,-3.875,Winter,34416,Tame the Bulge (7),Hat,2013
813,Revere Open,0.0,12.375,Winter,34417,Touch My Disc More (8),Hat,2013
814,Revere Open,0.0,-0.571428571429,Winter,34418,Better Bad Decisions (9),Hat,2013
815,Revere Open,0.0,0.0,Winter,34419,Score More (10),Hat,2013
816,Revere Open,0.0,-6.85714285714,Winter,34420,Birthweight (11),Hat,2013
817,Revere Open,0.0,4.625,Winter,34421,Try Not To Die (12),Hat,2013
818,Revere Open,0.0,8.375,Winter,34422,Year of the Snake (13),Hat,2013
819,Revere Open,0.0,-3.875,Winter,34423,1horn1eyeflyingpurplepeopleeater (14),Hat,2013
820,Revere Open,0.0,-0.625,Winter,34424,Earn More Brownie Points (15),Hat,2013
821,Revere Open,0.0,-6.57142857143,Winter,34425,Get Laid Out (16),Hat,2013
822,Revere Open,0.0,0.571428571429,Winter,34426,T Rex Secret Agents (17),Hat,2013
823,Revere Open,0.0,-6.0,Winter,34427,Think of a Team Name (18),Hat,2013
824,Northborough Open,0.0,-5.4,Holiday,34335,Horton Hears a Hammer (1),Hat,2012
825,Northborough Open,0.0,-6.2,Holiday,34336,Green Eggs and Clam (2),Hat,2012
826,Northborough Open,0.0,5.9,Holiday,34337,Fling 1 Fling 2 (3),Hat,2012
827,Northborough Open,0.0,5.7,Holiday,34338,Blue Fish x4 (4),Hat,2012
828,Revere Open,0.0,4.0,Holiday,34339,Horton Hears a Huck (5),Hat,2012
829,Revere Open,0.0,2.0,Holiday,34340,Green Eggs and Hammy (6),Hat,2012
830,Revere Open,0.0,-4.6,Holiday,34341,Cat in the Black (7),Hat,2012
831,Revere Open,0.0,5.90909090909,Holiday,34342,Horton Clears Do You (8),Hat,2012
832,Revere Open,0.0,-1.90909090909,Holiday,34343,Oh the Places You'll Throw! (9),Hat,2012
833,Revere Open,0.0,-0.625,Holiday,34344,Chill Fish Through Fish (10),Hat,2012
834,Revere Open,0.0,-0.2,Holiday,34345,1 Fish 1 Fish (11),Hat,2012
835,Revere Open,0.0,-5.625,Holiday,34346,Yertle the Turtle's Vertle Stack (12),Hat,2012
836,4/3 Div 1,1700.0,3.0,Fall,34164,1-900-OK-FACE,Club,2012
837,4/3 Div 1,1700.0,3.0,Fall,34017,Animals,Club,2012
838,4/3 Div 1,1700.0,2.16666666667,Fall,34004,Bear Cavalry,Club,2012
839,4/3 Div 1,1700.0,-4.6,Fall,34019,Burning River,Club,2012
840,4/3 Div 1,1700.0,-0.6,Fall,34067,Fallchart,Club,2012
841,4/3 Div 1,1700.0,-1.85714285714,Fall,33999,GrassBurner Harvest,Club,2012
842,4/3 Div 1,1700.0,-3.66666666667,Fall,34066,GTU,Club,2012
843,4/3 Div 1,1700.0,1.16666666667,Fall,34021,The Heartland,Club,2012
844,4/3 Div 1,1700.0,-1.0,Fall,34015,Topless Pillow Fight,Club,2012
845,4/3 Div 2,1300.0,-0.25,Fall,34001,A Lil Bit Sticky fall,Club,2012
846,4/3 Div 2,1300.0,5.875,Fall,34033,Blood Sweat and Beers,Club,2012
847,4/3 Div 2,1300.0,1.375,Fall,34007,Double Agent,Club,2012
848,4/3 Div 2,1300.0,5.71428571429,Fall,34027,Hammers in Paris,Club,2012
849,4/3 Div 2,1300.0,0.0,Fall,34038,Live Poultry Fresh Killed,Club,2012
850,4/3 Div 2,1300.0,-7.0,Fall,34022,Love Handles,Club,2012
851,4/3 Div 2,1300.0,2.42857142857,Fall,34145,Nerd Alert,Club,2012
852,4/3 Div 2,1300.0,-2.28571428571,Fall,34018,Rebel Alliance,Club,2012
853,4/3 Div 2,1300.0,-0.166666666667,Fall,34110,Sketch,Club,2012
854,4/3 Div 2,1300.0,1.6,Fall,34076,Stall of the Wild,Club,2012
855,4/3 Div 2,1300.0,-2.5,Fall,34030,Thats What She Said,Club,2012
856,4/3 Div 2,1300.0,7.14285714286,Fall,34165,The Nutgetters,Club,2012
857,4/3 Div 2,1300.0,-7.83333333333,Fall,34011,Top Shelf,Club,2012
858,4/3 Div 2,1300.0,-3.0,Fall,34002,Unicorns Capping Dreams,Club,2012
859,4/3 Div 2,1300.0,-1.42857142857,Fall,33997,Upstream,Club,2012
860,4/3 Div 3,900.0,0.0,Fall,34032,123 Frisbee,Club,2012
861,4/3 Div 3,900.0,-4.8,Fall,34166,Clurichaun,Club,2012
862,4/3 Div 3,900.0,0.714285714286,Fall,34012,Fall Dirt,Club,2012
863,4/3 Div 3,900.0,-6.57142857143,Fall,34009,Huck Buddies,Club,2012
864,4/3 Div 3,900.0,9.42857142857,Fall,34068,Hungry Hippos,Club,2012
865,4/3 Div 3,900.0,-8.28571428571,Fall,34013,It's a Trap,Club,2012
866,4/3 Div 3,900.0,1.33333333333,Fall,34008,Jam City Swag,Club,2012
867,4/3 Div 3,900.0,0.5,Fall,34028,Killer Tofu,Club,2012
868,4/3 Div 3,900.0,-3.0,Fall,34143,Moist,Club,2012
869,4/3 Div 3,900.0,1.66666666667,Fall,34016,Moosehead Cowpokes,Club,2012
870,4/3 Div 3,900.0,-7.0,Fall,34245,purple cobras,Club,2012
871,4/3 Div 3,900.0,2.375,Fall,34005,Stack to the Future,Club,2012
872,4/3 Div 3,900.0,-1.71428571429,Fall,34037,The Coasters,Club,2012
873,4/3 Div 3,900.0,0.142857142857,Fall,34039,The Flaming Croissants,Club,2012
874,4/3 Div 3,900.0,-4.375,Fall,34014,THEM!,Club,2012
875,4/3 Div 3,900.0,5.75,Fall,33998,Toads,Club,2012
876,4/3 Div 3,900.0,1.5,Fall,34003,Too Drunk to Fail,Club,2012
877,4/3 Div 3,900.0,6.625,Fall,34010,Underwater Monkey Cowboys,Club,2012
878,Open Div 1,1300.0,-5.0,Fall,34299,1 Sweet New Team,Club,2012
879,Open Div 1,1300.0,8.0,Fall,34020,AI Practice Squad,Club,2012
880,Open Div 1,1300.0,-1.5,Fall,34075,Fallen Chicken Angel (Spirit Fowl),Club,2012
881,Open Div 1,1300.0,4.66666666667,Fall,34261,Merrimack Ultimate,Club,2012
882,Open Div 1,1300.0,2.16666666667,Fall,34167,Space Coyote,Club,2012
883,Open Div 1,1300.0,-4.66666666667,Fall,34077,Wentworth Ultimate,Club,2012
884,JP Mixed (4/3),0.0,5.85714285714,Fall,34041,Fifty Blades of Grey (2),Hat,2012
885,JP Mixed (4/3),0.0,-1.16666666667,Fall,34042,Royal Purple Nurples (3),Hat,2012
886,JP Mixed (4/3),0.0,-3.42857142857,Fall,34043,Citric Acid (4),Hat,2012
887,JP Mixed (4/3),0.0,3.14285714286,Fall,34044,Honey Dew Dew (5),Hat,2012
888,JP Mixed (4/3),0.0,-2.14285714286,Fall,34045,Two Buck Huck (6),Hat,2012
889,JP Mixed (4/3),0.0,-1.42857142857,Fall,34046,Barack O'Berry (7),Hat,2012
890,JP Mixed (4/3),0.0,-1.28571428571,Fall,34047,Banangnam Style (8),Hat,2012
891,JP Mixed (4/3),0.0,-2.42857142857,Fall,34048,Rune (9),Hat,2012
892,JP Mixed (4/3),0.0,3.57142857143,Fall,34049,Legitimate Censourship (10),Hat,2012
893,JP Mixed (4/3),0.0,-2.57142857143,Fall,34050,Gronk a l'orange (11),Hat,2012
894,JP Mixed (4/3),0.0,4.33333333333,Fall,34051,Indecision 12 (12),Hat,2012
895,JP Mixed (4/3),0.0,1.0,Fall,34052,Raisin Taxes (13),Hat,2012
896,JP Mixed (4/3),0.0,-7.0,Fall,34053,Swing State (14),Hat,2012
897,JP Mixed (4/3),0.0,1.85714285714,Fall,34054,50 Shades of Greypefruit (15),Hat,2012
898,JP Mixed (4/3),0.0,2.0,Fall,34055,Mars Rover Kiwiosity (16),Hat,2012
899,Lexington Coed (5/2) Weekend,0.0,-8.8,Fall,34060,The Huckleberries (21),Hat,2012
900,Lexington Coed (5/2) Weekend,0.0,-1.33333333333,Fall,34061,Scone D (22),Hat,2012
901,Lexington Coed (5/2) Weekend,0.0,6.5,Fall,34062,Goosey Riot (23),Hat,2012
902,Lexington Coed (5/2) Weekend,0.0,2.6,Fall,34063,Blackberry Crash (24),Hat,2012
903,Lexington Coed (5/2) Weeknight,0.0,-2.75,Fall,34056,Fracking Pumpkins (17),Hat,2012
904,Lexington Coed (5/2) Weeknight,0.0,3.0,Fall,34057,Blueberry coli (18),Hat,2012
905,Lexington Coed (5/2) Weeknight,0.0,-3.6,Fall,34058,Mother Smuckers (19),Hat,2012
906,Lexington Coed (5/2) Weeknight,0.0,3.4,Fall,34059,Gray Marriage (20),Hat,2012
907,JP Mixed (4/3),0.0,-5.5,Summer,33717,Cocoa Snuffs (1),Hat,2012
908,JP Mixed (4/3),0.0,-1.5,Summer,33718,Son of Sam the Toucan (2),Hat,2012
909,JP Mixed (4/3),0.0,0.875,Summer,33719,Applejack the Ripper (3),Hat,2012
910,JP Mixed (4/3),0.0,0.75,Summer,33720,Snap Crackle and Child Arson! (4),Hat,2012
911,JP Mixed (4/3),0.0,3.33333333333,Summer,33721,Capt'n Cuthroat (5),Hat,2012
912,JP Mixed (4/3),0.0,0.4,Summer,33722,Death Berries (6),Hat,2012
913,JP Mixed (4/3),0.0,-2.125,Summer,33723,Special D (7),Hat,2012
914,JP Mixed (4/3),0.0,3.42857142857,Summer,33724,Chucky Charms (8),Hat,2012
915,JP Mixed (4/3),0.0,0.166666666667,Summer,33725,Grape Cuts (9),Hat,2012
916,JP Mixed (4/3),0.0,-3.33333333333,Summer,33726,Special Kaczynski (10),Hat,2012
917,JP Mixed (4/3),0.0,6.83333333333,Summer,33727,Grayish (11),Hat,2012
918,JP Mixed (4/3),0.0,-6.33333333333,Summer,33728,Snap Crackle Pop A Cap (12),Hat,2012
919,JP Mixed (4/3),0.0,-0.8,Summer,33729,Apple Jack the Ripper (13),Hat,2012
920,JP Mixed (4/3),0.0,-0.833333333333,Summer,33730,Electric Chairios (14),Hat,2012
921,JP Mixed (4/3),0.0,7.16666666667,Summer,33731,HoneyBundyo'OatsNowWPinkBerries (15),Hat,2012
922,JP Mixed (4/3),0.0,-3.6,Summer,33732,Stab Crackle and Pop (16),Hat,2012
923,Lexington Coed (5/2) Weekend,0.0,5.5,Summer,33733,Hucky Charms (17),Hat,2012
924,Lexington Coed (5/2) Weekend,0.0,-6.83333333333,Summer,33734,Flix are for Kids (18),Hat,2012
925,Lexington Coed (5/2) Weekend,0.0,-0.333333333333,Summer,33735,Honey Huck Chilly O's (19),Hat,2012
926,Lexington Coed (5/2) Weekend,0.0,3.57142857143,Summer,33736,Hammerio (20),Hat,2012
927,Lexington Coed (5/2) Weekend,0.0,-3.71428571429,Summer,33739,Waitlist of Champions (21),Hat,2012
928,4/3 Div 1,1800.0,-3.90909090909,Summer,32975,BBN,Club,2012
929,4/3 Div 1,1800.0,3.0,Summer,33213,Blocktopus,Club,2012
930,4/3 Div 1,1800.0,-5.41666666667,Summer,33211,Booosh!,Club,2012
931,4/3 Div 1,1800.0,2.16666666667,Summer,33149,Capture the Dream,Club,2012
932,4/3 Div 1,1800.0,2.52631578947,Summer,33184,Flowchart,Club,2012
933,4/3 Div 1,1800.0,2.86666666667,Summer,32972,GoThrilla,Club,2012
934,4/3 Div 1,1800.0,4.04545454545,Summer,32966,GrassBurner,Club,2012
935,4/3 Div 1,1800.0,2.66666666667,Summer,33109,Swingers,Club,2012
936,4/3 Div 1,1800.0,4.71428571429,Summer,33110,Zerg Rush!,Club,2012
937,4/3 Div 2,1400.0,-1.66666666667,Summer,32957,A Lil Bit Sitcky,Club,2012
938,4/3 Div 2,1400.0,0.842105263158,Summer,32985,Aunt Jomamas Suburban Legends,Club,2012
939,4/3 Div 2,1400.0,-3.0,Summer,33229,Chowbox,Club,2012
940,4/3 Div 2,1400.0,1.73684210526,Summer,33186,Double Agent,Club,2012
941,4/3 Div 2,1400.0,-1.125,Summer,32976,Fetch,Club,2012
942,4/3 Div 2,1400.0,-2.38461538462,Summer,32986,Flying Geckos,Club,2012
943,4/3 Div 2,1400.0,-0.642857142857,Summer,33207,Hipster Kitties,Club,2012
944,4/3 Div 2,1400.0,0.0,Summer,32971,JHOP,Club,2012
945,4/3 Div 2,1400.0,2.14285714286,Summer,32979,"Live Poultry, Fresh Killed",Club,2012
946,4/3 Div 2,1400.0,-2.6,Summer,32964,Love Handles,Club,2012
947,4/3 Div 2,1400.0,0.15,Summer,33210,Nerd Alert,Club,2012
948,4/3 Div 2,1400.0,-0.75,Summer,32974,Puddingstone,Club,2012
949,4/3 Div 2,1400.0,-0.947368421053,Summer,33198,Rebel Alliance,Club,2012
950,4/3 Div 2,1400.0,-0.5625,Summer,32958,skoosh,Club,2012
951,4/3 Div 2,1400.0,0.947368421053,Summer,32953,Store Bought Dirt,Club,2012
952,4/3 Div 2,1400.0,0.5,Summer,33214,Tubbs,Club,2012
953,4/3 Div 2,1400.0,3.08333333333,Summer,33227,Tune Squad,Club,2012
954,4/3 Div 2,1400.0,2.8125,Summer,33238,Turtle Boy,Club,2012
955,4/3 Div 2,1400.0,-2.125,Summer,32969,Upstream,Club,2012
956,4/3 Div 3,1000.0,-6.2,Summer,33100,123 Frisbee,Club,2012
957,4/3 Div 3,1000.0,0.2,Summer,33206,Baboon Heart,Club,2012
958,4/3 Div 3,1000.0,2.06666666667,Summer,33220,Double Run,Club,2012
959,4/3 Div 3,1000.0,-6.5,Summer,33147,Huck Buddies,Club,2012
960,4/3 Div 3,1000.0,-5.75,Summer,32955,It's a Trap,Club,2012
961,4/3 Div 3,1000.0,-2.63636363636,Summer,33215,Stack to the Future,Club,2012
962,4/3 Div 3,1000.0,-5.81818181818,Summer,32968,The Coasters,Club,2012
963,4/3 Div 3,1000.0,3.11111111111,Summer,33102,Toads,Club,2012
964,4/3 Div 3,1000.0,-0.277777777778,Summer,32956,Top Shelf,Club,2012
965,5/2 Div 1,1700.0,3.5,Summer,33199,Bacon,Club,2012
966,5/2 Div 1,1700.0,3.0,Summer,32973,Boom Strike,Club,2012
967,5/2 Div 1,1700.0,5.0,Summer,32980,Fresh2Death,Club,2012
968,5/2 Div 1,1700.0,3.27272727273,Summer,32981,Stonecutters,Club,2012
969,5/2 Div 1,1700.0,1.54545454545,Summer,33188,Teenage Cavemen,Club,2012
970,5/2 Div 1,1700.0,-1.42857142857,Summer,33195,Wey-Hi,Club,2012
971,5/2 Div 2,1300.0,-2.125,Summer,33203,Demons,Club,2012
972,5/2 Div 2,1300.0,-2.5,Summer,33202,Eat Club,Club,2012
973,5/2 Div 2,1300.0,3.0,Summer,32977,Get Flat Ultimate,Club,2012
974,5/2 Div 2,1300.0,-3.4,Summer,33197,Hucky McThrowandcatch,Club,2012
975,5/2 Div 2,1300.0,-1.18181818182,Summer,33204,JuJuHex,Club,2012
976,5/2 Div 2,1300.0,2.5,Summer,33208,Killer Bees,Club,2012
977,5/2 Div 2,1300.0,4.09090909091,Summer,33190,Maverick,Club,2012
978,5/2 Div 2,1300.0,4.7,Summer,33185,Tyler Perry's HAOS of Pain,Club,2012
979,5/2 Div 2,1300.0,8.0,Summer,33226,WHUF,Club,2012
980,5/2 Div 3,900.0,1.52380952381,Summer,32987,Flying Salsa,Club,2012
981,5/2 Div 3,900.0,0.0769230769231,Summer,33191,Granite State Grass Stains,Club,2012
982,5/2 Div 3,900.0,-0.3,Summer,33230,Green Flash,Club,2012
983,5/2 Div 3,900.0,4.26666666667,Summer,33194,Hammers In Paris,Club,2012
984,5/2 Div 3,900.0,1.71428571429,Summer,33146,Hungry Hippos,Club,2012
985,5/2 Div 3,900.0,-7.4,Summer,33222,Jiggy,Club,2012
986,5/2 Div 3,900.0,-0.4,Summer,33108,M.O.B.,Club,2012
987,5/2 Div 3,900.0,-6.93333333333,Summer,33228,Porkbellies,Club,2012
988,5/2 Div 3,900.0,2.2,Summer,33196,Rabbit Disk,Club,2012
989,5/2 Div 3,900.0,0.571428571429,Summer,32952,Spam,Club,2012
990,5/2 Div 3,900.0,-8.625,Summer,32959,Spawning Alewives,Club,2012
991,5/2 Div 3,900.0,-0.615384615385,Summer,33201,The Defenestration of Prague,Club,2012
992,5/2 Div 3,900.0,-5.75,Summer,32982,THEM!,Club,2012
993,5/2 Div 3,900.0,0.444444444444,Summer,33148,Underwater Monkey Cowboys,Club,2012
994,5/2 Div 3,900.0,0.105263157895,Summer,33223,WolfGang,Club,2012
995,5/2 Div 4,800.0,-9.16666666667,Summer,33189,Pulp Flicktion,Club,2012
996,5/2 Div 4,800.0,-5.33333333333,Summer,33192,Too Drunk to Fail,Club,2012
997,Open Div 1,1400.0,1.8,Summer,33212,Aer Dingus,Club,2012
998,Open Div 1,1400.0,-9.55555555556,Summer,33200,AfterImage,Club,2012
999,Open Div 1,1400.0,3.2,Summer,33224,Black and Blue,Club,2012
1000,Open Div 1,1400.0,1.73684210526,Summer,32965,Crossroads,Club,2012
1001,Open Div 1,1400.0,2.42857142857,Summer,32983,Discellaneous,Club,2012
1002,Open Div 1,1400.0,2.72727272727,Summer,33232,Fat Bass,Club,2012
1003,Open Div 1,1400.0,5.0,Summer,33221,Flying Jackalopes,Club,2012
1004,Open Div 1,1400.0,1.625,Summer,33101,Savage Strike,Club,2012
1005,Open Div 1,1400.0,-0.916666666667,Summer,32978,Spirit Fowl,Club,2012
1006,Open Div 1,1400.0,-1.07142857143,Summer,32967,Stall 9,Club,2012
1007,Open Div 2,1200.0,0.0,Summer,33216,Cupasaurus Lex,Club,2012
1008,Open Div 2,1200.0,1.92307692308,Summer,33205,DISCtinguished Gentlemen,Club,2012
1009,Open Div 2,1200.0,-3.7,Summer,33225,Hammer Bros.,Club,2012
1010,Open Div 2,1200.0,1.66666666667,Summer,32970,South Coast WiPPs,Club,2012
1011,Open Div 2,1200.0,-6.16666666667,Summer,33209,The Funky Bunch,Club,2012
1012,JP Coed,0.0,3.4,Spring,32920,Skyabetes (35),Hat,2012
1013,JP Coed,0.0,1.83333333333,Spring,32921,Cherry Bombe (36),Hat,2012
1014,JP Coed,0.0,-1.5,Spring,32962,Dumpin' Donuts (37),Hat,2012
1015,JP Coed,0.0,-3.8,Spring,32963,Bacon D Lime Pie (38),Hat,2012
1016,JP Mixed (4/3),0.0,5.71428571429,Spring,32886,Purple Peeps (1),Hat,2012
1017,JP Mixed (4/3),0.0,3.83333333333,Spring,32887,Bread Putting Huckantaschen (2),Hat,2012
1018,JP Mixed (4/3),0.0,-0.833333333333,Spring,32888,Bubble Gumdropsies (3),Hat,2012
1019,JP Mixed (4/3),0.0,-3.14285714286,Spring,32889,Sand Storm (4),Hat,2012
1020,JP Mixed (4/3),0.0,4.4,Spring,32890,Soft Serve (5),Hat,2012
